Municipio,Itinerario
ABADIA DE GOIAS,GO 0005
ABADIA DOS DOURADOS,MG 0010
ABAIRA,BA 0010
ABATIA,PR 0010
ABDON BATISTA,SC 0005
ABREU E LIMA,PE 0005
ACAILANDIA,MA 0005
ACARAPE,CE 0015
ACORIZAL,MT 0010
ADAMANTINA,SP 0010
AGRONOMICA,SC 0030
ALAGOINHAS,BA 0070
ALDEIAS ALTAS,MA 0030
ALEGRETE,RS 0040
ALEXANIA,GO 0030
ALFENAS,MG 0160
ALHANDRA,PB 0060
ALMIRANTE TAMANDARE,PR 0040
ALTA FLORESTA D`OESTE,RO 0001
ALTO ARAGUAIA,MT 0030
ALTO BELA VISTA,SC 0075
ALTO FELIZ,RS 0057
ALTO PARANA,PR 0060
ALTONIA,PR 0050
ALUMINIO,SP 0115
ALVINOPOLIS,MG 0230
ALVORADA,RS 0060
AMELIA RODRIGUES,BA 0110
AMERICANA,SP 0160
AMERICO BRASILIENSE,SP 0170
AMPARO (SP),SP 0190
AMPARO (PB),PB 0073
AMPARO DE SAO FRANCISCO,SE 0010
AMPERE,PR 0100
ANALANDIA,SP 0200
ANANINDEUA,PA 0080
ANAPOLIS,GO 0110
ANDRADAS,MG 0260
ANGRA DOS REIS,RJ 0010
ANICUNS,GO 0130
ANTONIO CARLOS,SC 0120
APARECIDA DE GOIANIA,GO 0140
APARECIDA DO TABOADO,MS 0100
APIUNA,SC 0125
APUCARANA,PR 0140
AQUIRAZ,CE 0100
ARACAJU,SE 0030
ARACARIGUAMA,SP 0275
ARACATI,CE 0110
ARACATU,BA 0200
ARACATUBA,SP 0280
ARACOIABA DA SERRA,SP 0290
ARACRUZ,ES 0060
ARAGOIANIA,GO 0180
ARAGUAINA,TO 0210
ARAGUARI,MG 0350
ARAPIRACA,AL 0030
ARAPONGAS,PR 0150
ARAPORA,MG 0375
ARAQUARI,SC 0130
ARARANGUA,SC 0140
ARARAQUARA,SP 0320
ARARAS,SP 0330
ARARUAMA,RJ 0020
ARAUCARIA,PR 0180
ARAXA,MG 0400
ARCEBURGO,MG 0410
ARCOVERDE,PE 0120
AREAL,RJ 0022
ARES,RN 0120
ARIRANHA,SP 0370
ARROIO DO MEIO,RS 0100
ARTUR NOGUEIRA,SP 0380
ARUJA,SP 0390
ASSIS,SP 0400
ASTORGA,PR 0210
ATIBAIA,SP 0410
AVAI,SP 0430
AVARE,SP 0450
BADY BASSITT,SP 0460
BAGE,RS 0160
BAIA FORMOSA,RN 0140
BALNEARIO CAMBORIU,SC 0200
BALSA NOVA,PR 0230
BANDEIRANTES,PR 0240
BARBACENA,MG 0560
BARBOSA FERRAZ,PR 0250
BARIRI,SP 0520
BARRA BONITA,SP 0530
BARRA DO BUGRES,MT 0170
BARRA DO PIRAI,RJ 0030
BARRA DO RIBEIRO,RS 0190
BARRA MANSA,RJ 0040
BARREIRAS,BA 0320
