chave,CD,sku,id_prod,id_dc,moeda,preco,politica,por,atualizado,pp mes anterior,fob net anterior,analista,lead team,q min,reajuste,reajuste,coment,apoio sobre demanda,frac/FALSE
66112125-10SC04,SC04,66112125-10,2468,5,USD,"2,251.80",0.3,1000,TRUE,"2,252.19","2,927.85",FABIO,115,200,,,Seguir pol?tica,REGULAR,FALSE
66112125-10SP13,SP13,66112125-10,2468,1,USD,"2,339.34",0.3,1000,TRUE,"2,355.36","3,061.96",FABIO,115,200,,,Seguir pol?tica,REGULAR,FALSE
66112125-41SP13,SP13,66112125-41,2467,1,USD,"2,578.28",0.4,1000,TRUE,"2,610.77","3,655.08",FABIO,115,19.9,,,Seguir pol?tica,REGULAR,TRUE
66112126-10SC04,SC04,66112126-10,4878,5,USD,"2,334.07",0.3,1000,TRUE,"2,334.47","3,034.81",FABIO,115,200,,,Seguir pol?tica,REGULAR,FALSE
66112126-10SP13,SP13,66112126-10,4878,1,USD,"2,409.87",0.3,1000,TRUE,"2,423.63","3,150.72",FABIO,115,200,,,Seguir pol?tica,REGULAR,FALSE
66112126-40SP13,SP13,66112126-40,4877,1,USD,"2,710.58",0.4,1000,TRUE,"2,741.77","3,838.48",FABIO,115,19.9,,,Seguir pol?tica,REGULAR,TRUE
66112127-10SC04,SC04,66112127-10,5182,5,USD,"3,849.70",0.2,1000,TRUE,"3,850.09","4,620.11",FABIO,115,200,,,Seguir pol?tica,REGULAR,FALSE
66112127-10SP13,SP13,66112127-10,5182,1,USD,"4,001.48",0.2,1000,TRUE,"4,031.48","4,837.78",FABIO,115,200,,,Seguir pol?tica,REGULAR,FALSE
66112127-41SP13,SP13,66112127-41,5181,1,USD,"4,266.93",0.3,1000,TRUE,"4,324.04","5,621.25",FABIO,115,19.9,,,Seguir pol?tica,REGULAR,TRUE
66112129-26SC04,SC04,66112129-26,5941,5,USD,"12,071.16",0.3,1000,TRUE,"12,071.55","15,693.02",FABIO,115,170,,,Seguir pol?tica,REGULAR,FALSE
66112129-26SP13,SP13,66112129-26,5941,1,USD,"12,717.02",0.3,1000,TRUE,"12,794.44","16,632.77",FABIO,115,170,,,Seguir pol?tica,REGULAR,FALSE
66112129-41SP13,SP13,66112129-41,5940,1,USD,"12,963.70",0.3,1000,TRUE,"13,425.37","17,452.98",FABIO,115,16.9,,,Seguir pol?tica,REGULAR,TRUE
77112018-26SC04,SC04,77112018-26,4076,5,USD,"24,196.86",0.3,1000,TRUE,"24,197.25","31,456.43",FABIO,115,170,,,Seguir pol?tica,REGULAR,FALSE
77112018-26SP13,SP13,77112018-26,4076,1,USD,"25,832.13",0.3,1000,TRUE,"25,984.03","33,779.24",FABIO,115,170,,,Seguir pol?tica,REGULAR,FALSE
77112018-37SP13,SP13,77112018-37,4077,1,USD,"25,073.15",0.4,1000,TRUE,"25,075.13","35,105.18",FABIO,115,25,,,Seguir pol?tica,REGULAR,TRUE
77122052-41SP13,SP13,77122052-41,465,1,USD,"7,918.85",0.3,1000,TRUE,"7,969.29","10,360.07",FABIO,115,0,,,Seguir pol?tica,DESCONTINUADO,TRUE
77122105-81SC04,SC04,77122105-81,788,5,USD,"5,471.58",0.3,1000,TRUE,"5,471.97","7,113.56",FABIO,120,200,,,Seguir pol?tica,CONTRA PEDIDO,FALSE
77122105-81SP13,SP13,77122105-81,788,1,USD,"5,772.57",0.3,1000,TRUE,"5,808.23","7,550.70",FABIO,120,200,,,Seguir pol?tica,CONTRA PEDIDO,FALSE
77122079-10SC04,SC04,77122079-10,2495,5,USD,"4,619.06",0.3,1000,TRUE,"4,678.63","6,082.22",FABIO,115,200,,,Seguir pol?tica,REGULAR,FALSE
77122079-10SP13,SP13,77122079-10,2495,1,USD,"4,798.92",0.3,1000,TRUE,"4,864.95","6,324.43",FABIO,115,200,,,Seguir pol?tica,REGULAR,FALSE
77122079-41SP13,SP13,77122079-41,2492,1,USD,"5,076.21",0.3,1000,TRUE,"5,174.82","6,727.26",FABIO,115,20,,,Seguir pol?tica,REGULAR,TRUE
77122143-145SC04,SC04,77122143-145,3439,5,USD,"4,559.87",0.3,1000,TRUE,"4,560.27","5,928.35",FABIO,115,200,,,Seguir pol?tica,REGULAR,FALSE
77122143-145SP13,SP13,77122143-145,3439,1,USD,"4,765.86",0.3,1000,TRUE,"4,794.33","6,232.63",FABIO,115,20,,,Seguir pol?tica,REGULAR,FALSE
66112092-10SC04,SC04,66112092-10,787,5,USD,"3,686.05",0.35,1000,TRUE,"3,686.44","4,976.70",FABIO,115,200,,,Seguir pol?tica,REGULAR,FALSE
66112092-10SP13,SP13,66112092-10,787,1,USD,"3,856.43",0.35,1000,TRUE,"3,890.06","5,251.58",FABIO,115,200,,,Seguir pol?tica,REGULAR,FALSE
66112092-41SP13,SP13,66112092-41,786,1,USD,"4,254.55",0.45,1000,TRUE,"4,280.87","6,207.26",FABIO,115,19.9,,,Seguir pol?tica,REGULAR,TRUE
66112095-75SC04,SC04,66112095-75,6155,5,USD,"3,038.15",0.25,1000,TRUE,"3,038.54","3,798.18",FABIO,115,200,,,Seguir pol?tica,REGULAR,FALSE
66112095-75SP13,SP13,66112095-75,6155,1,USD,"3,191.13",0.25,1000,TRUE,"3,215.41","4,019.26",FABIO,115,200,,,Seguir pol?tica,REGULAR,FALSE
66112095-41SP13,SP13,66112095-41,6152,1,USD,"3,495.44",0.35,1000,TRUE,"3,800.27","5,130.36",FABIO,115,18.9,,,Seguir pol?tica,REGULAR,TRUE
66112093-10SC04,SC04,66112093-10,1561,5,USD,"2,915.51",0.2,1000,TRUE,"2,915.90","3,499.08",FABIO,115,195,,,Seguir pol?tica,REGULAR,FALSE
66112093-10SP13,SP13,66112093-10,1561,1,USD,"3,102.92",0.2,1000,TRUE,"3,132.96","3,759.55",FABIO,115,195,,,Seguir pol?tica,REGULAR,FALSE
66112093-174SP13,SP13,66112093-174,1559,1,USD,"3,454.74",0.3,1000,TRUE,"3,506.58","4,558.56",FABIO,115,20,,,Seguir pol?tica,REGULAR,TRUE
66112091-10SC04,SC04,66112091-10,5609,5,USD,"4,757.59",0.2,1000,TRUE,"4,757.98","5,709.58",FABIO,115,200,,,Seguir pol?tica,REGULAR,FALSE
66112091-10SP13,SP13,66112091-10,5609,1,USD,"5,076.33",0.2,1000,TRUE,"5,107.13","6,128.56",FABIO,115,200,,,Seguir pol?tica,REGULAR,FALSE
66112091-41SP13,SP13,66112091-41,5607,1,USD,"5,480.68",0.3,1000,TRUE,"5,545.30","7,208.88",FABIO,115,19.9,,,Seguir pol?tica,REGULAR,TRUE
