origem,destino,valor
AC,AC,0.17
AL,AC,0.12
AP,AC,0.12
AM,AC,0.12
BA,AC,0.12
CE,AC,0.12
ES,AC,0.12
GO,AC,0.12
MA,AC,0.12
MT,AC,0.12
MS,AC,0.12
MG,AC,0.07
PA,AC,0.12
PB,AC,0.12
PR,AC,0.07
PE,AC,0.12
PI,AC,0.12
RJ,AC,0.07
RN,AC,0.12
RS,AC,0.07
RO,AC,0.12
RR,AC,0.12
SC,AC,0.07
SP,AC,0.07
SE,AC,0.12
TO,AC,0.12
AC,AL,0.12
AL,AL,0.17
AP,AL,0.12
AM,AL,0.12
BA,AL,0.12
CE,AL,0.12
ES,AL,0.12
GO,AL,0.12
MA,AL,0.12
MT,AL,0.12
MS,AL,0.12
MG,AL,0.07
PA,AL,0.12
PB,AL,0.12
PR,AL,0.07
PE,AL,0.12
PI,AL,0.12
RJ,AL,0.07
RN,AL,0.12
RS,AL,0.07
RO,AL,0.12
RR,AL,0.12
SC,AL,0.07
SP,AL,0.07
SE,AL,0.12
TO,AL,0.12
AC,AP,0.12
AL,AP,0.12
AP,AP,0.17
AM,AP,0.12
BA,AP,0.12
CE,AP,0.12
ES,AP,0.12
GO,AP,0.12
MA,AP,0.12
MT,AP,0.12
MS,AP,0.12
MG,AP,0.07
PA,AP,0.12
PB,AP,0.12
PR,AP,0.07
PE,AP,0.12
PI,AP,0.12
RJ,AP,0.07
RN,AP,0.12
RS,AP,0.07
RO,AP,0.12
RR,AP,0.12
SC,AP,0.07
SP,AP,0.07
SE,AP,0.12
TO,AP,0.12
AC,AM,0.12
AL,AM,0.12
AP,AM,0.12
AM,AM,0.17
BA,AM,0.12
CE,AM,0.12
ES,AM,0.12
GO,AM,0.12
MA,AM,0.12
MT,AM,0.12
MS,AM,0.12
MG,AM,0.07
PA,AM,0.12
PB,AM,0.12
PR,AM,0.07
PE,AM,0.12
PI,AM,0.12
RJ,AM,0.07
RN,AM,0.12
RS,AM,0.07
RO,AM,0.12
RR,AM,0.12
SC,AM,0.07
SP,AM,0.07
SE,AM,0.12
TO,AM,0.12
AC,BA,0.12
AL,BA,0.12
AP,BA,0.12
AM,BA,0.12
BA,BA,0.18
CE,BA,0.12
ES,BA,0.12
GO,BA,0.12
MA,BA,0.12
MT,BA,0.12
MS,BA,0.12
MG,BA,0.07
PA,BA,0.12
PB,BA,0.12
PR,BA,0.07
PE,BA,0.12
PI,BA,0.12
RJ,BA,0.07
RN,BA,0.12
RS,BA,0.07
RO,BA,0.12
RR,BA,0.12
SC,BA,0.07
SP,BA,0.07
SE,BA,0.12
TO,BA,0.12
AC,CE,0.12
AL,CE,0.12
AP,CE,0.12
AM,CE,0.12
BA,CE,0.12
CE,CE,0.18
ES,CE,0.12
GO,CE,0.12
MA,CE,0.12
MT,CE,0.12
MS,CE,0.12
MG,CE,0.07
PA,CE,0.12
PB,CE,0.12
PR,CE,0.07
PE,CE,0.12
PI,CE,0.12
RJ,CE,0.07
RN,CE,0.12
RS,CE,0.07
RO,CE,0.12
RR,CE,0.12
SC,CE,0.07
SP,CE,0.07
SE,CE,0.12
TO,CE,0.12
AC,ES,0.12
AL,ES,0.12
AP,ES,0.12
AM,ES,0.12
BA,ES,0.12
CE,ES,0.12
ES,ES,0.17
GO,ES,0.12
MA,ES,0.12
MT,ES,0.12
MS,ES,0.12
MG,ES,0.07
PA,ES,0.12
PB,ES,0.12
PR,ES,0.07
PE,ES,0.12
PI,ES,0.12
RJ,ES,0.07
RN,ES,0.12
RS,ES,0.07
RO,ES,0.12
RR,ES,0.12
SC,ES,0.07
SP,ES,0.07
SE,ES,0.12
TO,ES,0.12
AC,GO,0.12
AL,GO,0.12
AP,GO,0.12
AM,GO,0.12
BA,GO,0.12
CE,GO,0.12
ES,GO,0.12
GO,GO,0.17
MA,GO,0.12
MT,GO,0.12
MS,GO,0.12
MG,GO,0.07
PA,GO,0.12
PB,GO,0.12
PR,GO,0.07
PE,GO,0.12
PI,GO,0.12
RJ,GO,0.07
RN,GO,0.12
RS,GO,0.07
RO,GO,0.12
RR,GO,0.12
SC,GO,0.07
SP,GO,0.07
SE,GO,0.12
TO,GO,0.12
AC,MA,0.12
AL,MA,0.12
AP,MA,0.12
AM,MA,0.12
BA,MA,0.12
CE,MA,0.12
ES,MA,0.12
GO,MA,0.12
MA,MA,0.17
MT,MA,0.12
MS,MA,0.12
MG,MA,0.07
PA,MA,0.12
PB,MA,0.12
PR,MA,0.07
PE,MA,0.12
PI,MA,0.12
RJ,MA,0.07
RN,MA,0.12
RS,MA,0.07
RO,MA,0.12
RR,MA,0.12
SC,MA,0.07
SP,MA,0.07
SE,MA,0.12
TO,MA,0.12
AC,MT,0.12
AL,MT,0.12
AP,MT,0.12
AM,MT,0.12
BA,MT,0.12
CE,MT,0.12
ES,MT,0.12
GO,MT,0.12
MA,MT,0.12
MT,MT,0.17
MS,MT,0.12
MG,MT,0.07
PA,MT,0.12
PB,MT,0.12
PR,MT,0.07
PE,MT,0.12
PI,MT,0.12
RJ,MT,0.07
RN,MT,0.12
RS,MT,0.07
RO,MT,0.12
RR,MT,0.12
SC,MT,0.07
SP,MT,0.07
SE,MT,0.12
TO,MT,0.12
AC,MS,0.12
AL,MS,0.12
AP,MS,0.12
AM,MS,0.12
BA,MS,0.12
CE,MS,0.12
ES,MS,0.12
GO,MS,0.12
MA,MS,0.12
MT,MS,0.12
MS,MS,0.17
MG,MS,0.07
PA,MS,0.12
PB,MS,0.12
PR,MS,0.07
PE,MS,0.12
PI,MS,0.12
RJ,MS,0.07
RN,MS,0.12
RS,MS,0.07
RO,MS,0.12
RR,MS,0.12
SC,MS,0.07
SP,MS,0.07
SE,MS,0.12
TO,MS,0.12
AC,MG,0.12
AL,MG,0.12
AP,MG,0.12
AM,MG,0.12
BA,MG,0.12
CE,MG,0.12
ES,MG,0.12
GO,MG,0.12
MA,MG,0.12
MT,MG,0.12
MS,MG,0.12
MG,MG,0.18
PA,MG,0.12
PB,MG,0.12
PR,MG,0.12
PE,MG,0.12
PI,MG,0.12
RJ,MG,0.12
RN,MG,0.12
RS,MG,0.12
RO,MG,0.12
RR,MG,0.12
SC,MG,0.12
SP,MG,0.12
SE,MG,0.12
TO,MG,0.12
AC,PA,0.12
AL,PA,0.12
AP,PA,0.12
AM,PA,0.12
BA,PA,0.12
CE,PA,0.12
ES,PA,0.12
GO,PA,0.12
MA,PA,0.12
MT,PA,0.12
MS,PA,0.12
MG,PA,0.07
PA,PA,0.17
PB,PA,0.12
PR,PA,0.07
PE,PA,0.12
PI,PA,0.12
RJ,PA,0.07
RN,PA,0.12
RS,PA,0.07
RO,PA,0.12
RR,PA,0.12
SC,PA,0.07
SP,PA,0.07
SE,PA,0.12
TO,PA,0.12
AC,PB,0.12
AL,PB,0.12
AP,PB,0.12
AM,PB,0.12
BA,PB,0.12
CE,PB,0.12
ES,PB,0.12
GO,PB,0.12
MA,PB,0.12
MT,PB,0.12
MS,PB,0.12
MG,PB,0.07
PA,PB,0.12
PB,PB,0.17
PR,PB,0.07
PE,PB,0.12
PI,PB,0.12
RJ,PB,0.07
RN,PB,0.12
RS,PB,0.07
RO,PB,0.12
RR,PB,0.12
SC,PB,0.07
SP,PB,0.07
SE,PB,0.12
TO,PB,0.12
AC,PR,0.12
AL,PR,0.12
AP,PR,0.12
AM,PR,0.12
BA,PR,0.12
CE,PR,0.12
ES,PR,0.12
GO,PR,0.12
MA,PR,0.12
MT,PR,0.12
MS,PR,0.12
MG,PR,0.12
PA,PR,0.12
PB,PR,0.12
PR,PR,0.18
PE,PR,0.12
PI,PR,0.12
RJ,PR,0.12
RN,PR,0.12
RS,PR,0.12
RO,PR,0.12
RR,PR,0.12
SC,PR,0.12
SP,PR,0.12
SE,PR,0.12
TO,PR,0.12
AC,PE,0.12
AL,PE,0.12
AP,PE,0.12
AM,PE,0.12
BA,PE,0.12
CE,PE,0.12
ES,PE,0.12
GO,PE,0.12
MA,PE,0.12
MT,PE,0.12
MS,PE,0.12
MG,PE,0.07
PA,PE,0.12
PB,PE,0.12
PR,PE,0.07
PE,PE,0.18
PI,PE,0.12
RJ,PE,0.07
RN,PE,0.12
RS,PE,0.07
RO,PE,0.12
RR,PE,0.12
SC,PE,0.07
SP,PE,0.07
SE,PE,0.12
TO,PE,0.12
AC,PI,0.12
AL,PI,0.12
AP,PI,0.12
AM,PI,0.12
BA,PI,0.12
CE,PI,0.12
ES,PI,0.12
GO,PI,0.12
MA,PI,0.12
MT,PI,0.12
MS,PI,0.12
MG,PI,0.07
PA,PI,0.12
PB,PI,0.12
PR,PI,0.07
PE,PI,0.12
PI,PI,0.17
RJ,PI,0.07
RN,PI,0.12
RS,PI,0.07
RO,PI,0.12
RR,PI,0.12
SC,PI,0.07
SP,PI,0.07
SE,PI,0.12
TO,PI,0.12
AC,RJ,0.12
AL,RJ,0.12
AP,RJ,0.12
AM,RJ,0.12
BA,RJ,0.12
CE,RJ,0.12
ES,RJ,0.12
GO,RJ,0.12
MA,RJ,0.12
MT,RJ,0.12
MS,RJ,0.12
MG,RJ,0.12
PA,RJ,0.12
PB,RJ,0.12
PR,RJ,0.12
PE,RJ,0.12
PI,RJ,0.12
RJ,RJ,0.2
RN,RJ,0.12
RS,RJ,0.12
RO,RJ,0.12
RR,RJ,0.12
SC,RJ,0.12
SP,RJ,0.12
SE,RJ,0.12
TO,RJ,0.12
AC,RN,0.12
AL,RN,0.12
AP,RN,0.12
AM,RN,0.12
BA,RN,0.12
CE,RN,0.12
ES,RN,0.12
GO,RN,0.12
MA,RN,0.12
MT,RN,0.12
MS,RN,0.12
MG,RN,0.07
PA,RN,0.12
PB,RN,0.12
PR,RN,0.07
PE,RN,0.12
PI,RN,0.12
RJ,RN,0.07
RN,RN,0.17
RS,RN,0.07
RO,RN,0.12
RR,RN,0.12
SC,RN,0.07
SP,RN,0.07
SE,RN,0.12
TO,RN,0.12
AC,RS,0.12
AL,RS,0.12
AP,RS,0.12
AM,RS,0.12
BA,RS,0.12
CE,RS,0.12
ES,RS,0.12
GO,RS,0.12
MA,RS,0.12
MT,RS,0.12
MS,RS,0.12
MG,RS,0.12
PA,RS,0.12
PB,RS,0.12
PR,RS,0.12
PE,RS,0.12
PI,RS,0.12
RJ,RS,0.12
RN,RS,0.12
RS,RS,0.18
RO,RS,0.12
RR,RS,0.12
SC,RS,0.12
SP,RS,0.12
SE,RS,0.12
TO,RS,0.12
AC,RO,0.12
AL,RO,0.12
AP,RO,0.12
AM,RO,0.12
BA,RO,0.12
CE,RO,0.12
ES,RO,0.12
GO,RO,0.12
MA,RO,0.12
MT,RO,0.12
MS,RO,0.12
MG,RO,0.07
PA,RO,0.12
PB,RO,0.12
PR,RO,0.07
PE,RO,0.12
PI,RO,0.12
RJ,RO,0.07
RN,RO,0.12
RS,RO,0.07
RO,RO,0.17
RR,RO,0.12
SC,RO,0.07
SP,RO,0.07
SE,RO,0.12
TO,RO,0.12
AC,RR,0.12
AL,RR,0.12
AP,RR,0.12
AM,RR,0.12
BA,RR,0.12
CE,RR,0.12
ES,RR,0.12
GO,RR,0.12
MA,RR,0.12
MT,RR,0.12
MS,RR,0.12
MG,RR,0.07
PA,RR,0.12
PB,RR,0.12
PR,RR,0.07
PE,RR,0.12
PI,RR,0.12
RJ,RR,0.07
RN,RR,0.12
RS,RR,0.07
RO,RR,0.12
RR,RR,0.17
SC,RR,0.07
SP,RR,0.07
SE,RR,0.12
TO,RR,0.12
AC,SC,0.12
AL,SC,0.12
AP,SC,0.12
AM,SC,0.12
BA,SC,0.12
CE,SC,0.12
ES,SC,0.12
GO,SC,0.12
MA,SC,0.12
MT,SC,0.12
MS,SC,0.12
MG,SC,0.12
PA,SC,0.12
PB,SC,0.12
PR,SC,0.12
PE,SC,0.12
PI,SC,0.12
RJ,SC,0.12
RN,SC,0.12
RS,SC,0.12
RO,SC,0.12
RR,SC,0.12
SC,SC,0.17
SP,SC,0.12
SE,SC,0.12
TO,SC,0.12
AC,SP,0.12
AL,SP,0.12
AP,SP,0.12
AM,SP,0.12
BA,SP,0.12
CE,SP,0.12
ES,SP,0.12
GO,SP,0.12
MA,SP,0.12
MT,SP,0.12
MS,SP,0.12
MG,SP,0.12
PA,SP,0.12
PB,SP,0.12
PR,SP,0.12
PE,SP,0.12
PI,SP,0.12
RJ,SP,0.12
RN,SP,0.12
RS,SP,0.12
RO,SP,0.12
RR,SP,0.12
SC,SP,0.12
SP,SP,0.18
SE,SP,0.12
TO,SP,0.12
AC,SE,0.12
AL,SE,0.12
AP,SE,0.12
AM,SE,0.12
BA,SE,0.12
CE,SE,0.12
ES,SE,0.12
GO,SE,0.12
MA,SE,0.12
MT,SE,0.12
MS,SE,0.12
MG,SE,0.07
PA,SE,0.12
PB,SE,0.12
PR,SE,0.07
PE,SE,0.12
PI,SE,0.12
RJ,SE,0.07
RN,SE,0.12
RS,SE,0.07
