prod_id,cust_id,dist_id,value,table_value,business_unit
2474,7,1,0.2,0.2,
2474,8,4,0.2,0.2,
2474,7,4,0.2,0.2,
2474,9,4,0.18,0.18,
2474,10,4,0.14,0.14,
2474,10,1,0.14,0.14,
1083,11,1,0.2,0.2,
1085,12,1,0.2,0.2,
1085,13,1,0.23,0.23,
1083,14,3,0.11,0.11,
1083,15,1,0.17,0.17,
1083,16,1,0.14,0.14,
1083,17,1,0.14,0.14,
1083,18,1,0.14,0.14,
1083,,1,0.25,0.25,
1083,19,1,0.17,0.17,
1083,20,1,0.25,0.25,
1083,21,1,0.15,0.15,
1083,22,1,0.15,0.15,
1085,15,1,0.17,0.17,
1085,16,1,0.14,0.14,
1085,17,1,0.14,0.14,
1085,11,1,0.2,0.2,
1085,23,1,0.25,0.25,
1085,19,1,0.17,0,
1085,20,1,0.18,0.18,
4189,12,1,0.05,0.05,
4189,24,1,0.05,0.05,
4189,25,3,0.02,0.02,
4186,25,3,0.02,0.02,
4558,26,1,0.62,0.62,
1895,27,8,0.5,0.5,
4558,26,1,0.62,0.62,
