SKU,Nome Produto,Unidade,IPI,Peso Especifico,Resolu??o 13,Origem,NCM
66110463-331,Produto 1,kg,0,1,FALSE,0,2922.49.10
74800007-468,Produto 2,kg,0,1,TRUE,1,2937.90.90
66122005-1,Produto 3,kg,0,1,TRUE,1,1516.20.00
66122006-1,Produto 4,kg,0,1,TRUE,1,1516.20.00
61108205-93,Produto 5,kg,0.05,1,FALSE,0,4005.10.10
61108207-93,Produto 6,kg,0.05,1,FALSE,0,4005.10.10
61108209-93,Produto 7,kg,0.05,1,FALSE,0,4005.10.10
61108211-93,Produto 8,kg,0.05,1,FALSE,0,4005.10.10
77112027-549,Produto 9,kg,0,1,FALSE,6,2906.29.90
82139001-93,Produto 10,kg,0.05,1,TRUE,1,3911.10.29
90900005-1,Produto 11,kg,0,0.867528412,FALSE,0,2902.90.90
66111001-37,Produto 12,kg,0,1,FALSE,0,2916.20.90
66111001-447,Produto 13,kg,0,1,FALSE,0,2916.20.90
66111001-1,Produto 14,kg,0,1,FALSE,0,2916.20.90
42240009-93,Produto 15,kg,0.05,1,TRUE,2,3903.30.20
42240008-93,Produto 16,kg,0.05,1,TRUE,2,3903.30.20
42240007-93,Produto 17,kg,0.05,1,TRUE,2,3903.30.20
42240010-93,Produto 18,kg,0.05,1,TRUE,2,3903.30.20
42240006-93,Produto 19,kg,0.05,1,FALSE,0,3903.30.20
66800008-303,Produto 20,kg,0.05,1,FALSE,6,3913.90.90
66800008-40,Produto 21,kg,0.05,1,FALSE,6,3913.90.90
66800008-510,Produto 22,kg,0.05,1,FALSE,6,3913.90.90
66800008-468,Produto 23,kg,0.05,1,FALSE,6,3913.90.90
66800008-53,Produto 24,kg,0.05,1,FALSE,6,3913.90.90
66800008-1,Produto 25,kg,0.05,1,FALSE,6,3913.90.90
66740041-93,Produto 26,kg,0,1.015,FALSE,6,2917.19.90
66740042-87,Produto 27,kg,0,1,FALSE,6,2917.19.90
66740042-91,Produto 28,kg,0,1,FALSE,6,2917.19.90
81510037-51,Produto 29,kg,0.05,1,FALSE,0,3910.00.12
81510037-1,Produto 30,kg,0.05,1,FALSE,0,3910.00.12
81510037-116,Produto 31,kg,0.05,1,FALSE,0,3910.00.12
62110146-106,Produto 32,kg,0,1,FALSE,6,2936.27.10
76134001-51,Produto 33,kg,0,1.195028681,TRUE,2,2915.11.00
76134001-1,Produto 34,kg,0,1.195028681,TRUE,2,2915.11.00
66800006-60,Produto 35,kg,0,1,FALSE,0,2940.00.99
66800006-184,Produto 36,kg,0,1,FALSE,0,2940.00.99
66310050-323,Produto 37,kg,0,1,FALSE,6,2907.29.00
90900140-1,Produto 38,kg,0,0.995024876,FALSE,6,2915.50.10
66730044-93,Produto 39,kg,0,1,TRUE,1,2925.29.22
66730047-93,Produto 40,kg,0.1,1,TRUE,1,3812.39.19
66730039-93,Produto 41,kg,0,1,TRUE,1,2934.99.15
66730042-93,Produto 42,kg,0,1,TRUE,1,2930.90.29
66730048-93,Produto 43,kg,0,1,TRUE,1,2934.20.34
66730045-93,Produto 44,kg,0,1,TRUE,1,2934.20.20
66730043-93,Produto 45,kg,0,1,TRUE,1,2934.20.31
66730041-93,Produto 46,kg,0,1,TRUE,1,2930.20.23
66730040-93,Produto 47,kg,0,1,TRUE,1,2930.20.29
66116013-141,Produto 48,kg,0,1,FALSE,0,2921.43.19
66730029-93,Produto 49,kg,0,1,TRUE,1,2934.20.32
66730018-93,Produto 50,kg,0,1,TRUE,1,2934.20.32
66730034-93,Produto 51,kg,0,1,TRUE,1,2934.20.33
66730028-93,Produto 52,kg,0,1,FALSE,0,2925.29.22
66730022-91,Produto 53,kg,0,1,FALSE,0,2925.29.22
66730022-93,Produto 54,kg,0,1,FALSE,0,2925.29.22
66730036-93,Produto 55,kg,0,1,FALSE,6,2934.20.34
66730016-93,Produto 56,kg,0,1,TRUE,1,2934.20.10
66730016-335,Produto 57,kg,0,1,TRUE,1,2934.20.10
66730020-93,Produto 58,kg,0,1,TRUE,1,2934.20.10
66730027-335,Produto 59,kg,0,1,TRUE,1,2934.20.20
66730017-93,Produto 60,kg,0,1,TRUE,1,2934.20.20
66730060-93,Produto 61,kg,0,1,TRUE,1,2934.20.32
66730046-93,Produto 62,kg,0,1,TRUE,1,2934.20.10
66730062-93,Produto 63,kg,0,1,TRUE,1,2930.30.21
66730063-93,Produto 64,kg,0,1,TRUE,1,2934.20.20
66730033-93,Produto 65,kg,0,1,TRUE,1,2934.20.31
66730033-152,Produto 66,kg,0,1,FALSE,6,2934.20.31
66730030-93,Produto 67,kg,0,1,FALSE,0,2925.29.22
66270199-335,Produto 68,kg,0,1,TRUE,1,2930.30.29
66270199-93,Produto 69,kg,0,1,TRUE,1,2930.30.29
66730021-93,Produto 70,kg,0,1,FALSE,0,2930.30.29
52420008-758,Produto 71,kg,0,0.983090838,TRUE,2,2915.39.29
66112014-448,Produto 72,kg,0,1,FALSE,6,2914.50.90
77122028-51,Produto 73,kg,0,1,TRUE,1,2915.39.99
66112024-37,Produto 74,kg,0,1,TRUE,1,2915.39.29
66112024-457,Produto 75,kg,0,1,TRUE,1,2915.39.29
66112024-41,Produto 76,kg,0,1,TRUE,1,2915.39.29
66112024-10,Produto 77,kg,0,1,TRUE,1,2915.39.29
52420000-40,Produto 78,kg,0,0.901875902,FALSE,0,2915.31.00
52420013-1,Produto 79,kg,0,0.901875,TRUE,2,2915.31.00
52420000-1,Produto 80,kg,0,0.901875902,FALSE,0,2915.31.00
90900162-1,Produto 81,kg,0,0.901875902,FALSE,0,2915.31.00
52420000-200,Produto 82,kg,0,0.901875902,FALSE,0,2915.31.00
52420000-301,Produto 83,kg,0,0.901875902,FALSE,0,2915.31.00
90900162-10,Produto 84,kg,0,0.901875902,FALSE,0,2915.31.00
52420013-482,Produto 85,kg,0,0.901875,TRUE,2,2915.31.00
52420000-482,Produto 86,kg,0,0.901875902,FALSE,0,2915.31.00
52420000-758,Produto 87,kg,0,0.901875902,FALSE,0,2915.31.00
52050004-74,Produto 88,kg,0,0.975039002,FALSE,0,2915.35.00
52050004-1,Produto 89,kg,0,0.975039002,FALSE,0,2915.35.00
52050004-140,Produto 90,kg,0,0.975039002,FALSE,0,2915.35.00
52050004-258,Produto 91,kg,0,0.975039002,FALSE,0,2915.39.32
77122044-40,Produto 92,kg,0,1,TRUE,1,2915.39.99
77122044-41,Produto 93,kg,0,1,TRUE,1,2915.39.99
