customer_code,product_sku,dist_center_code,value,,,,,,,,,,
1000023036,64320022-93,SP13,0.15,,,,,,,,,,
1000023036,64320022-93,SP13,0.15,,,,,,,,,,
1000028348,81510094-10,SP13,0.24,,,,,,,,,,
1000028348,81510094-10,SP13,0.24,,,,,,,,,,
1000024466,35410018-1,SP12,0.07,,,,,,,,,,
1000024466,35410018-1,SP12,0.07,,,,,,,,,,
1000006275,66740043-10,SP13,0.17,,,,,,,,,,
1000006275,66740043-10,SP13,0.17,,,,,,,,,,
1000023644,66740040-10,SP13,0.15,,,,,,,,,,
1000023644,66740040-10,SP13,0.15,,,,,,,,,,
1000030095,51010004-482,SP13,0.03,,,,,,,,,,
1000030095,51010004-482,SP13,0.03,,,,,,,,,,
1000015023,57010102-482,SP13,0.2,,,,,,,,,,
1000015023,57010102-482,SP13,0.2,,,,,,,,,,
1000014407,52060110-116,NN,0.07,,,,,,,,,,
1000014407,52060110-116,NN,0.07,,,,,,,,,,
1000028348,52050002-10,SP13,0.3875,,,,,,,,,,
1000028348,52050002-10,SP13,0.3875,,,,,,,,,,
