currency,unit,customer_code,product_sku,dist_center_code,n_cost,payment_term,n_prazo,quantity,icms_padrao,icms,pis_confins_padrao,pis_confins,n_ipi,brl_usd,brl_eur,freight_condition,n_itinerario,freight_padrao,n_freight_base_type,n_freight_subtype,n_vehicle_name,fixed_price,n_output_unit_price,markup,n_markup_tabela,n_markup_politica,n_unid_prod,n_cost_currency,n_preco_fob_net,unit_freight,n_density
usd,,1000023036,64320022-93,SP13,1.96769586,35,2.9227%,1000,false,0.18,false,0.0925,,3.2,3.6,cif,,true,Embalado,chemical,,false,3.263472291,0.15,,,kg,usd,,0.04390625,
brl,,1000023036,64320022-93,SP13,1.96769586,35,2.9227%,1000,false,0.18,false,0.0925,,3.2,3.6,cif,,true,Embalado,chemical,,false,10.44311133,0.15,,,kg,usd,,0.04390625,
usd,,1000028348,81510094-10,SP13,12.22784341,35,2.9227%,1000,false,0.18,false,0.0925,,3.1,3.6,cif,,true,Embalado,chemical,,false,21.52118224,0.24,,,kg,usd,,0.04953125,
brl,,1000028348,81510094-10,SP13,12.22784341,35,2.9227%,1000,false,0.18,false,0.0925,,3.1,3.6,cif,,true,Embalado,chemical,,false,66.71566493,0.24,,,kg,usd,,0.04953125,
usd,,1000024466,35410018-1,SP12,1.199355502,7,0.4631%,1000,false,0.18,false,0.0925,,3.1,3.6,cif,,true,Granel,normal,IQ-TRUCK-15,false,1.79242136,0.07,,,l,usd,,0.014664833,
brl,,1000024466,35410018-1,SP12,1.199355502,7,0.4631%,1000,false,0.18,false,0.0925,,3.1,3.6,cif,,true,Granel,normal,IQ-TRUCK-15,false,5.556506215,0.07,,,l,usd,,0.014664833,
eur,,1000006275,66740043-10,SP13,5.20283346,0,0.0000%,1000,false,0.04,false,0.0925,,3.1,3.6,cif,,true,Granel,normal,IQ-TRUCK-15,false,7.132191654,0.17,,,kg,eur,,0.099861111,
brl,,1000006275,66740043-10,SP13,5.20283346,0,0.0000%,1000,false,0.04,false,0.0925,,3.1,3.6,cif,,true,Granel,normal,IQ-TRUCK-15,false,25.67588995,0.17,,,kg,eur,,0.099861111,
eur,,1000023644,66740040-10,SP13,3.271354296,42,3.5174%,1000,false,0.12,false,0.0925,,3.1,3.6,cif,,false,,,,false,4.985999936,0.15,,,kg,eur,,0.031,
brl,,1000023644,66740040-10,SP13,3.271354296,42,3.5174%,1000,false,0.12,false,0.0925,,3.1,3.6,cif,,false,,,,false,17.84365052,0.15,,,kg,eur,,0.031,
brl,lt,1000030095,51010004-482,SP13,2.416978527,35,2.9227%,1000.0,false,0.25,false,0.0925,0.0,3.1,3.6,cif,,true,Embalado,chemical,,false,4.292992567,0.03,,,lt,brl,,0.253,0.785
brl,kg,1000030095,51010004-482,SP13,2.416978527,35,2.9227%,1000.0,false,0.25,false,0.0925,0.0,3.1,3.6,cif,,true,Embalado,chemical,,false,5.46878034,0.03,,,lt,brl,,0.253,0.785
brl,lt,1000015023,57010102-482,SP13,2.393264326,0,0.0000%,1000.0,false,0.25,false,0.0925,0.0,3.1,3.6,cif,,true,Embalado,chemical,,false,4.833638313,0.2,,,lt,brl,,0.3062,0.67
brl,kg,1000015023,57010102-482,SP13,2.393264326,0,0.0000%,1000.0,false,0.25,false,0.0925,0.0,3.1,3.6,cif,,true,Embalado,chemical,,false,7.214385542,0.2,,,lt,brl,,0.3062,0.67
brl,kg,1000014407,52060110-116,NN,2.103069454,35,2.9227%,1000.0,false,0.18,false,0.0925,0.0,3.1,3.6,cif,,true,Embalado,chemical,,false,3.313598197,0.07,,,kg,brl,,0.091903226,0.95
brl,lt,1000014407,52060110-116,NN,2.103069454,35,2.9227%,1000.0,false,0.18,false,0.0925,0.0,3.1,3.6,cif,,true,Embalado,chemical,,false,3.147918287,0.07,,,kg,brl,,0.091903226,0.95
usd,kg,1000028348,52050002-10,SP13,3.965190191,35,2.9227%,1000.0,false,0.18,false,0.0925,0.0,3.1,3.6,cif,,true,Embalado,chemical,,false,7.849221918,0.3875,,,kg,usd,,0.046451613,1.044604617
brl,lt,1000028348,52050002-10,SP13,3.965190191,35,2.9227%,1000.0,false,0.18,false,0.0925,0.0,3.1,3.6,cif,,true,Embalado,chemical,,false,25.41793372,0.3875,,,kg,usd,,0.046451613,1.044604617
